iter	Passed	Remaining
0	198	198054
1	200	99844
2	201	66926
3	202	50490
4	204	40739
5	206	34166
6	207	29465
7	209	25991
8	211	23261
9	213	21133
10	215	19343
11	216	17861
12	218	16606
13	220	15508
14	222	14584
15	223	13750
16	225	13014
17	226	12355
18	227	11764
19	229	11243
20	230	10767
21	232	10324
22	233	9926
23	235	9563
24	236	9225
25	238	8923
26	239	8640
27	241	8383
28	243	8139
29	244	7906
30	245	7686
31	247	7479
32	248	7282
33	249	7098
34	251	6922
35	252	6758
36	253	6603
37	255	6467
38	257	6336
39	258	6206
40	260	6085
41	261	5966
42	263	5854
43	264	5743
44	265	5637
45	266	5535
46	268	5437
47	269	5344
48	270	5256
49	272	5173
50	274	5099
51	275	5022
52	277	4950
53	278	4876
54	279	4805
55	281	4738
56	282	4674
57	283	4611
58	285	4549
59	286	4488
60	287	4430
61	289	4373
62	290	4325
63	292	4274
64	293	4225
65	295	4178
66	296	4129
67	297	4074
68	298	4029
69	299	3984
70	301	3941
71	302	3899
72	303	3859
73	305	3820
74	306	3781
75	308	3745
76	309	3714
77	311	3679
78	312	3645
79	314	3612
80	315	3581
81	317	3550
82	318	3518
83	320	3495
84	321	3460
85	322	3431
86	323	3399
87	326	3387
88	329	3367
89	330	3342
90	331	3315
91	333	3289
92	334	3263
93	336	3238
94	337	3214
95	338	3189
96	340	3165
97	341	3141
98	343	3123
99	344	3102
100	346	3080
101	346	3054
102	348	3034
103	349	3013
104	351	2992
105	352	2972
106	353	2952
107	355	2932
108	356	2913
109	357	2893
110	358	2874
111	360	2859
112	362	2841
113	363	2827
114	365	2809
115	366	2790
116	367	2773
117	369	2758
118	370	2744
119	371	2727
120	373	2712
121	374	2697
122	375	2679
123	377	2663
124	378	2651
125	379	2635
126	381	2622
127	382	2606
128	384	2594
129	385	2580
130	386	2565
131	388	2553
132	390	2542
133	391	2529
134	392	2516
135	394	2505
136	396	2494
137	397	2484
138	399	2476
139	401	2464
140	402	2452
141	404	2441
142	405	2429
143	406	2417
144	408	2406
145	409	2394
146	410	2382
147	411	2370
148	413	2362
149	414	2351
150	416	2341
151	417	2330
152	419	2320
153	420	2309
