iter	Passed	Remaining
0	10	10645
1	13	6628
2	15	5103
3	18	4643
4	20	4083
5	22	3710
6	23	3397
7	25	3193
8	27	3002
9	28	2817
10	29	2676
11	31	2565
12	32	2475
13	34	2409
14	37	2435
15	38	2371
16	40	2319
17	41	2271
18	43	2220
19	44	2176
20	45	2133
21	47	2095
22	48	2059
23	49	2028
24	51	2007
25	54	2042
26	56	2026
27	57	2003
28	59	1978
29	60	1958
30	62	1950
31	63	1929
32	65	1924
33	67	1908
34	68	1894
35	70	1892
36	72	1883
37	73	1872
38	75	1864
39	77	1856
40	78	1839
41	80	1827
42	81	1812
43	82	1797
44	83	1782
45	85	1771
46	86	1759
47	89	1769
48	90	1765
49	92	1756
50	94	1749
51	95	1747
52	97	1736
53	98	1725
54	99	1715
55	101	1708
56	102	1703
57	104	1696
58	107	1709
59	109	1710
60	110	1705
61	112	1696
62	113	1686
63	114	1679
64	116	1674
65	117	1666
66	119	1657
67	120	1650
68	121	1642
69	123	1635
70	125	1647
71	127	1644
72	129	1642
73	131	1641
74	132	1634
75	134	1630
76	135	1623
77	136	1617
78	138	1609
79	139	1604
80	140	1598
81	143	1604
82	144	1593
83	145	1588
84	147	1583
85	148	1577
86	149	1569
87	150	1564
88	152	1558
89	153	1552
90	154	1545
91	156	1540
92	157	1534
93	158	1528
94	160	1533
95	162	1531
96	164	1527
97	165	1523
98	166	1518
99	168	1514
100	169	1508
101	170	1503
102	172	1500
103	173	1497
104	175	1492
105	176	1487
106	179	1494
107	180	1492
108	182	1489
109	184	1490
110	186	1491
111	187	1489
112	189	1486
113	191	1484
114	192	1482
115	194	1480
116	197	1489
117	198	1486
118	200	1483
119	201	1479
120	203	1476
121	204	1470
122	205	1465
123	206	1462
124	208	1457
125	209	1453
126	210	1447
127	211	1444
128	215	1452
129	216	1451
130	219	1453
131	220	1450
132	222	1448
133	223	1446
134	225	1444
135	226	1441
136	228	1440
137	231	1447
138	233	1448
139	235	1444
140	236	1440
141	237	1435
142	239	1432
143	240	1429
144	241	1426
145	243	1422
146	244	1419
147	245	1415
148	247	1412
149	249	1412
150	251	1413
151	252	1411
152	254	1409
153	256	1409
154	258	1406
155	259	1403
156	260	1399
157	261	1396
158	263	1392
159	264	1389
160	266	1390
161	268	1390
162	270	1389
163	272	1387
164	273	1384
165	274	1381
166	276	1379
167	277	1375
168	279	1372
169	280	1369
170	281	1365
171	282	1362
172	284	1361
173	286	1358
174	287	1354
175	288	1351
176	289	1347
177	291	1344
178	295	1354
179	296	1351
180	298	1349
181	299	1347
182	301	1347
183	303	1346
184	304	1342
185	306	1341
186	308	1339
187	309	1336
188	311	1334
189	312	1331
190	313	1327
191	314	1324
192	316	1321
193	317	1318
194	321	1326
195	322	1324
196	324	1322
197	325	1318
198	326	1315
199	328	1312
200	329	1309
201	330	1306
202	331	1302
203	332	1299
204	334	1295
205	335	1292
206	337	1292
207	339	1291
208	340	1288
209	341	1286
210	343	1284
211	344	1281
212	346	1279
213	347	1276
214	348	1273
215	350	1270
216	351	1267
217	352	1264
218	354	1262
219	355	1261
220	357	1258
221	358	1256
222	359	1254
223	361	1251
224	362	1249
225	364	1246
226	365	1245
227	367	1243
228	369	1242
229	370	1240
230	373	1241
231	374	1241
232	377	1242
233	378	1240
234	380	1239
235	382	1237
236	383	1236
